"click_id","hs_id","otaCode"
46673989,690122769,"bkng"
46673992,690000444,"bkng"
46674049,690002894,"htls"
46674124,690218786,"bkng"
46674211,690181376,"otel"
46674268,690175370,"bkng"
46674295,690206463,"htls"
46674379,690196805,"bkng"
46674469,690141130,"bkng"
46674493,690181502,"elvl"
46674529,690039853,"bkng"
46674547,690190709,"amom"
46674565,690206463,"bkng"
46674574,690000444,"bkng"
46674577,690551870,"amom"
46674805,690206463,"last"
46674910,690206463,"bkng"
46675075,690071036,"bkng"
46675099,1000840250,"bkng"
46675132,690196805,"bkng"
46675174,690203244,"bkng"
46675210,1000840250,"bkng"
46675216,1000840250,"bkng"
46675276,690358772,"bkng"
46675282,690225631,"last"
46675336,1000840250,"bkng"
46675426,690762121,"htls"
46675462,690187347,"amom"
46675531,690358772,"htls"
46675582,690358772,"htls"
46675624,690206463,"last"
46675783,690232328,"bkng"
46675822,690189440,"amom"
46675858,690203244,"bkng"
46675861,690223602,"bkng"
46675888,690182304,"htls"
46675924,1001715347,"hawy"
46675930,690206463,"expd"
46675966,690220019,"bkng"
46675984,690168981,"bkng"
46676059,690192878,"bkng"
46676101,690171102,"amom"
46676209,690044056,"bkng"
46676218,690000444,"bkng"
46676239,690123333,"bkng"
46676278,690241278,"bkng"
46676353,1000840250,"bkng"
46676395,690288888,"bkng"
46676437,690206463,"init"
46676593,690206463,"bkng"
46676596,690206463,"init"
46676674,690191710,"amom"
46676677,690095323,"bkng"
46676686,690113248,"bkng"
46676839,690196479,"expd"
46676902,690181454,"bkng"
46676995,690190335,"otel"
46677007,690619205,"htls"
46677088,690187347,"amom"
46677355,690206463,"agda"
46677523,690189506,"last"
46677556,690206463,"bkng"
46677586,690875729,"amom"
46677718,690118543,"htls"
46677796,690025228,"bkng"
46677856,690118543,"bkng"
46677865,690105666,"last"
46678042,690166841,"hawy"
46678069,690206463,"bkng"
46678117,690122769,"hrsd"
46678135,690206463,"init"
46678147,690187267,"agda"
46678174,690201840,"elvl"
46678384,690122769,"bkng"
46678435,690018791,"bkng"
46678777,690221681,"ctrp"
46678891,690206463,"bkng"
46679050,690194375,"bkng"
46679053,690028473,"otel"
46679062,690170933,"amom"
46679212,690324063,"bkng"
46679242,690002045,"amom"
46679488,690088841,"expd"
46679533,690123321,"bkng"
46679563,690206463,"init"
46679575,1000288753,"last"
46679599,690122769,"htde"
46679614,690113248,"htls"
46679650,690181376,"bkng"
46679653,690187215,"sids"
46679875,690206463,"bkng"
46679971,690000357,"bkng"
46680040,690225631,"last"
46680088,690206463,"bkng"
46680094,690000414,"ctrp"
46680109,690122769,"bkng"
46680202,690175226,"last"
46680286,690293962,"htls"
46680388,690122769,"bkng"
46680424,690000384,"bkng"
46680532,690190174,"bkng"
46680571,690266447,"htls"
46680577,690100198,"htls"
46680589,690170933,"amom"
46680607,690000459,"bkng"
46680658,690419338,"bkng"
46680679,690175401,"bkng"
46680709,690086749,"last"
46680757,690223726,"bkng"
46680760,690122769,"htde"
46680904,690223726,"bkng"
46680958,690187265,"sids"
46680979,690182304,"htls"
46681210,690187265,"amom"
46681258,690063427,"bkng"
46681309,690112083,"otel"
46681378,690189244,"bkng"
46681495,690196098,"last"
46681510,690135864,"sids"
46681561,690189208,"bkng"
46681726,690170933,"amom"
46681924,690118543,"bkng"
46681942,150043183,"htls"
46681945,690199472,"amom"
46682137,690196838,"bkng"
46682398,690187453,"bkng"
46682578,690187453,"bkng"
46682701,690170933,"amom"
46682716,691005318,"bkng"
46682917,1000591651,"bkng"
46682953,690190335,"last"
46683100,690228273,"htls"
46683178,690223098,"bkng"
46683196,690784042,"htls"
46683313,690189357,"amom"
46683409,690225631,"ctrp"
46683430,690401591,"bkng"
46683487,690196582,"htls"
46683496,690146657,"bkng"
46683526,1000288753,"ctrp"
46683544,690122769,"hrsd"
46683547,690046374,"ctrp"
46683586,690223531,"agda"
46683706,690181880,"htls"
46683757,1000840250,"bkng"
46683883,690191245,"htde"
46683955,690007857,"amom"
46683973,690196582,"bkng"
46683994,690189244,"bkng"
46683997,690227507,"bkng"
46684195,690194412,"amom"
46684363,690227507,"bkng"
46684417,690206463,"bkng"
46684450,690206463,"init"
46684510,690195707,"amom"
46684537,690000357,"htls"
46684591,690122769,"bkng"
46684639,690047555,"bkng"
46684651,690000284,"ctrp"
46684699,690168368,"ctrp"
46684738,690010108,"bkng"
46684873,690122769,"htde"
46684876,1003386404,"bkng"
46685062,690122769,"htde"
46685077,690010108,"bkng"
46685197,690000414,"ctrp"
46685272,690201863,"bkng"
46685341,690254335,"htls"
46685470,690206463,"bkng"
46685743,690206463,"bkng"
46685764,690000870,"agda"
46685821,690013870,"bkng"
46685914,690206463,"bkng"
46685917,690333720,"amom"
46686058,690203556,"htls"
46686064,690198561,"bkng"
46686163,690189244,"bkng"
46686190,690194375,"bkng"
46686214,690171102,"amom"
46686283,690018356,"agda"
46686301,690046338,"htls"
46686331,690171414,"htls"
46686343,690022624,"otel"
46686355,690190335,"amom"
46686433,690046338,"htls"
46686544,690191101,"amom"
46686694,690226704,"htls"
46686709,690071036,"ctrp"
46686718,690190335,"ctrp"
46686733,690206463,"bkng"
46686751,1003374522,"bkng"
46687135,690167336,"bkng"
46687489,690182304,"htls"
46687612,690199863,"last"
46687957,1001370638,"bkng"
46688020,690190366,"amom"
46688086,690224164,"bkng"
46688209,690191822,"agda"
46688263,690203556,"htls"
46688521,690270670,"bkng"
46688566,690105666,"bkng"
46688839,690221681,"htde"
46688998,690067174,"bkng"
46689019,690086749,"bkng"
46689133,690206463,"bkng"
46689160,690206463,"bkng"
46689205,690206463,"bkng"
46689217,690000357,"htls"
46689232,690223726,"last"
46689253,690290959,"bkng"
46689307,690223667,"amom"
46689328,690182304,"htls"
46689376,690198797,"bkng"
46689388,690195493,"htde"
46689592,690184634,"htls"
46689676,690105666,"bkng"
